authors_id,name,surname,gender,birth date,nationality,age,country
167,Niklas,Andersson,M,03/02/1981,Swedish,42,Sweden
166,Mia,Haugen,F,18/06/1983,Norwegian,40,Norway
165,Henrik,Lindqvist,M,23/08/1977,Swedish,46,Sweden
164,Ville,Jokinen,M,09/04/1984,Finnish,39,Finland
163,Kirsten,Andersen,M,27/10/1976,Norwegian,47,Norway
162,Oskar,Eriksson,M,14/12/1987,Swedish,35,Sweden
161,Ingrid,Sørensen,F,30/01/1979,Danish,44,Denmark
160,Anders,Petersen,M,08/07/1980,Swedish,43,Sweden
159,Sofia,Bergman,F,15/09/1986,Finnish,37,Finland
158,Aksel,Olsen,M,05/11/1982,Norwegian,41,Norway
157,Maja,Jansson,F,22/05/1985,Swedish,38,Sweden
156,Erik,Hansen,M,12/03/1978,Danish,45,Denmark
155,Charlotte,Taylor,F,10/12/1984,Nauruan,38,Nauru
154,Jacob,Robinson,M,30/06/1987,Kiribati,36,Kiribati
153,Zoe,Turner,F,22/03/1975,Ni-Vanuatu,48,Ni-Vanuatu
152,Noah,Clark,M,03/02/1989,New Caledonian,34,New Caledonia
151,Emily,Lee,F,18/10/1986,Micronesian,37,Micronesia
150,Jack,Harris,M,07/11/1978,Palauan,45,Palau
149,Mia,Johnson,F,25/01/1988,Tahitian,35,Tahiti
148,Lucas,Wilson,M,11/07/1982,Vanuatu,41,Vanuatu
147,Ella,White,F,14/04/1985,Samoa,38,Samoa
146,William,Brown,M,29/09/1977,Solomon Islander,46,Solomon Island
145,Chloe,Mitchell,F,17/06/1980,Papua New Guinean,43,Papua New Guinea
144,Oliver,Turner,M,09/03/1981,Tongan,42,Tonga
143,Isabella,Davies,F,21/12/1979,Fijian,43,Fiji
142,Liam,Smith,M,15/05/1983,New Zealander,40,New Zealand
141,Sophie,Anderson,F,02/08/1976,Australian,47,Australia
140,Thabo,Ndlovu,M,27/04/1982,South African,41,South Africa
139,Moussa,Sissoko,M,30/09/1985,Malian,38,Mali
138,Chidinma,Eze,M,19/03/1976,Nigerian,47,Nigeria
137,Kwesi,Mensah,M,14/08/1981,Ghanaian,42,Ghana
136,Habiba,Diallo,F,09/06/1988,Malian,35,Mali
135,Isaac,Wanjohi,M,25/01/1989,Kenyan,34,Kenya
134,Fatou,Sow,M,18/12/1987,Senegalese,35,Senegal
133,Mohammed,Abubakar,M,20/10/1984,Nigerian,39,Nigeria
132,Aisha,Kamara,F,03/02/1979,Sierra Leonean,44,Sierra Leon
131,Sekou,Toure,M,10/07/1986,Guinean,37,Guinea
130,Naledi,Mokoena,M,28/05/1983,South African,40,South Africa
129,Lamine,Diop,F,12/04/1975,Senegalese,48,Senegal
128,Chinwe,Okoro,M,07/11/1980,Nigerian,43,Nigeria
127,Amina,Ndiaye,F,22/09/1977,Senegalese,46,Senegal
126,Kwame,Osei,M,15/03/1982,Ghanaian,41,Ghana
125,Marie-Claire,Dubois,F,16/08/1990,French,33,France
124,Andreas,Wagner,M,03/01/1986,German,37,Germany
123,Isabel,Martinez,F,27/04/1984,Spanish,39,Spain
122,Thomas,Fischer,M,09/10/1989,German,34,Germany
121,Ana,Silva,F,05/12/1987,Portuguese,35,Portugal
120,Lorenzo,Rossi,M,18/05/1982,Italian,41,Italy
119,Sophie,Lefebvre,F,30/07/1985,French,38,France
118,Matthias,Müller,M,14/09/1978,German,45,Germany
117,Elena,Rodriguez,F,11/03/1980,Spanish,43,Spain
116,Jean-Pierre,Dupont,M,22/06/1975,French,48,France
115,Silvija,Riekstiņa,F,28/02/1986,Latvian,37,Latvia
114,Pēteris,Auziņš,M,23/06/1985,Latvian,38,Latvia
113,Līga,Kalniņa,F,06/08/1992,Latvian,31,Latvia
112,Valdis,Salmiņš,M,18/03/1987,Latvian,36,Latvia
111,Zane,Bērziņa,F,12/12/1984,Latvian,38,Latvia
110,Mārtiņš,Ķirsis,M,10/05/1989,Latvian,34,Latvia
109,Inese,Sīmane,F,20/09/1983,Latvian,40,Latvia
108,Jānis,Pētersons,M,29/11/1978,Latvian,44,Latvia
107,Laima,Ozoliņa,F,02/04/1975,Latvian,48,Latvia
106,Andris,Bērziņš,M,15/07/1980,Latvian,43,Latvia
105,Nina,Petrova,F,19/01/1976,Bulgarian,47,Bulgaria
104,Miroslav,Hrbek,M,14/09/1982,Czech,41,Czech Republic
103,Lucie,Kovarova,F,30/12/1990,Czech,32,Czech Republic
102,Mikhail,Ivanov,M,08/04/1987,Russian,36,Russia
101,Irena,Kowalczyk,F,01/10/1991,Polish,32,Poland
100,Petr,Novak,M,28/02/1986,Czech,37,Czech Republic
99,Katerina,Dimitrova,F,23/06/1985,Bulgarian,38,Bulgaria
98,Mateusz,Nowak,M,06/08/1992,Polish,31,Poland
97,Jana,Kovac,F,18/03/1987,Slovak,36,Slovakia
96,Andriy,Shevchenko,M,12/12/1984,Ukrainian,38,Ukraine
95,Elena,Popescu,F,10/05/1989,Romanian,34,Rumania
94,Vladimir,Kuznetsov,M,20/09/1983,Russian,40,Russia
93,Tatiana,Novak,F,29/11/1978,Czech,44,Czech Republic
92,Ivan,Petrov,M,02/04/1975,Bulgarian,48,Bulgaria
91,Mariusz,Kowalski,M,15/07/1980,Polish,43,Poland
90,Dong,Hoang,M,19/01/1988,Vietnamese,35,Vietnam
89,Mei,Watanabe,M,14/09/1979,Japanese,44,Japan
88,Anish,Choudhury,M,30/12/1991,Bangladeshi,31,Bangladesh
87,Genghis,Bayar,M,08/04/1983,Mongolian,40,Mongolia
86,Jingwen,Xie,M,01/10/1986,Chinese,37,China
85,Natasha,Patel,F,28/02/1995,Indian,28,India
84,Ismail,Al-Mansoori,M,23/06/1987,Emirati,36,Emirates
83,Jing,Li,M,06/08/1981,Chinese,42,China
82,Kazuki,Tanaka,M,18/03/1993,Japanese,30,Japan
81,Yusuf,Erdogan,M,12/12/1984,Turkish,38,Turkey
80,Nadia,Zaman,F,10/05/1989,Bangladeshi,34,Bangladesh
79,Seung-Ho,Kim,M,20/09/1992,South Korean,31,South Korea
78,Ananya,Gupta,F,29/11/1977,Indian,45,India
77,Akihiko,Tanaka,M,02/04/1985,Japanese,38,Japan
76,Liu,Wei,M,15/07/1990,Chinese,33,China
75,Gonzalo,Castro,M,19/01/1988,Argentinian,35,Argentina
74,Lucia,Morales,F,14/09/1979,Spanish,44,Spain
73,Miguel,Ruiz,M,30/12/1991,Mexican,31,Mexico
72,Elena,Soto,F,08/04/1983,Venezuelan,40,Venezuela
71,Pablo,Diaz,M,01/10/1986,Chilean,37,Chile
70,Carmen,Torres,F,28/02/1995,Spanish,28,Spain
69,Luis,Martinez,M,23/06/1987,Mexican,36,Mexico
68,Ana,Fernandez,F,06/08/1981,Mexican,42,Mexico
67,Diego,Perez,M,18/03/1993,Spanish,30,Spain
66,Isabella,Lopez,F,12/12/1984,Argentinian,38,Argentina
65,Andres,Sanchez,M,10/05/1989,Peruvian,34,Peru
64,Sofia,Ramirez,F,20/09/1992,Colombian,31,Colombia
63,Carlos,Rodriguez,M,29/11/1977,Mexican,45,Mexico
62,Camila,Hernandez,F,02/04/1985,Mexican,38,Mexico
61,Javier,González,M,15/07/1990,Spanish,33,Spain
60,Anton,Nowak,M,04/11/1981,Polish,42,Poland
59,Ana,Silva,F,19/03/1996,Portuguese,27,Portugal
58,Eleni,Papadopoulos,F,15/05/1992,Greek,31,Greece
57,Raul,Martinez,M,10/08/1980,Mexican,43,Mexico
56,Hanna,Svensson,F,25/02/1994,Swedish,29,Sweden
55,Yan,Wei,M,30/04/1986,Chinese,37,China
54,Lucas,Santos,M,17/09/1988,Brazilian,35,Brazil
53,Maria,Ivanova,F,11/06/1995,Russian,28,Russia
52,Lise,Andersen,F,02/01/1983,Danish,40,Denmark
51,Giovanni,Bianchi,M,28/10/1977,Italian,46,Italy
50,Miguel,Rodríguez,M,01/07/1991,Mexican,32,Mexico
49,Vikram,Kapoor,M,09/05/1982,Indian,41,India
48,Marie,Dupont,F,14/12/1993,French,29,France
47,Amina,Ali,F,07/02/1984,Egyptian,39,Egypt
46,Sara,Fernández,F,23/04/1989,Spanish,34,Spain
45,Franz,Müller,M,08/09/1986,German,37,Germany
44,Elena,Petrov,F,19/11/1990,Russian,32,Russia
43,Takashi,Yamamoto,M,04/03/1985,Japanese,38,Japan
42,Isabella,Rossi,F,16/06/1987,Italian,36,Italy
41,Oliver,Wilson,M,22/08/1992,British,31,Great Britain
40,Jakub,Nowak,M,12/11/1986,Polish,37,Poland
39,Maria,Garcia,F,02/05/1991,Spanish,32,Spain
38,Kostas,Papadopoulos,M,24/04/1988,Greek,35,Greece
37,Juan,Rodriguez,M,28/09/1994,Mexican,29,Mexico
36,Sara,Andersson,F,30/06/1987,Swedish,36,Sweden
35,Hui,Li,M,09/10/1979,Chinese,44,China
34,Andres,Martinez,M,26/07/1990,Mexican,33,Mexico
33,Irina,Petrova,F,19/03/1983,Russian,40,Russia
32,Mette,Nielsen,M,11/02/1995,Danish,28,Denmark
31,Giorgio,Rossi,M,15/12/1976,Italian,46,Italy
30,Carlos,López,M,03/11/1993,Mexican,30,Mexico
29,Rajesh,Kapoor,M,23/08/1981,Indian,42,India
28,Léa,Dupuis,F,08/05/1986,French,37,France
27,Ahmed,Hussein,M,02/09/1982,Egyptian,41,Egypt
26,Catarina,Silva,F,29/01/1984,Portuguese,39,Portugal
25,Matthias,Schmidt,M,14/07/1992,German,31,Germany
24,Sofia,Ivanov,F,05/10/1989,Russian,34,Russia
23,Yuki,Nakamura,M,28/06/1977,Japanese,46,Japan
22,Ricardo,Fernandez,M,12/03/1985,Spanish,38,Spain
21,Emily,Johnson,F,17/04/1990,British,33,Great Britain
20,Anna,Nowak,F,20/02/1996,Polish,27,Poland
19,Carlos,Martínez,M,15/07/1984,Spanish,39,Spain
18,Anastasia,Papadopoulos,F,04/04/1989,Greek,34,Greece
17,Miguel,Rodriguez,M,09/12/1978,Mexican,44,Mexico
16,Johanna,Svensson,F,11/05/1992,Swedish,31,Sweden
15,Chen,Wei,M,22/06/1981,Chinese,42,China
14,Rafael,Santos,M,27/08/1986,Brazilian,37,Brazil
13,Olga,Ivanova,F,06/03/1993,Ukrainian,30,Ukraine
12,Sven,Hansen,M,18/10/1976,Danish,47,Denmark
11,Andrea,Bianchi,F,03/01/1982,Italian,41,Italy
10,Marta,López,F,30/07/1995,Mexican,28,Mexico
9,Amit,Patel,M,12/04/1987,Indian,36,India
8,Sophie,Dupont,F,25/09/1990,French,33,France
7,Ahmed,Ali,M,19/11/1979,Egyptian,44,Egypt
6,Luisa,Rodrigues,F,14/02/1983,Portuguese,40,Portugal
5,Lucas,Müller,M,07/06/1994,German,29,Germany
4,Elena,Kalashnikov,F,01/08/1988,Russian,35,Russia
3,Hiroshi,Tanaka,M,22/03/1975,Japanese,48,Japan
2,Maria,García,F,10/12/1991,Spanish,31,Spain
1,John,Smith,M,15/05/1980,American,43,USA
